,layer,feature,indirect_effect,prompt_str,response_str,node_type
237075,9,8979,0.07969795167446136,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
84553,3,8521,0.07656081765890121,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
124585,4,23209,0.07568838447332382,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
67160,2,16472,0.0753299668431282,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
268160,10,14720,0.07521085441112518,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
149188,5,22468,0.07416348159313202,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
186244,7,8836,0.07396674901247025,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
32285,1,6941,0.07396437972784042,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
132172,5,5452,0.07267004251480103,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
102359,4,983,0.07177218049764633,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
261175,10,7735,0.07128137350082397,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
275848,10,22408,0.06827323883771896,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
118238,4,16862,0.06741006672382355,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
276073,10,22633,0.0672331377863884,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
277534,10,24094,0.06718382239341736,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
277663,10,24223,0.06702929735183716,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
158549,6,6485,0.06648600846529007,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
111796,4,10420,0.06541915237903595,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
161199,6,9135,0.06541911512613297,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
190067,7,12659,0.06485895812511444,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
15033,0,15033,0.06424820423126221,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
130591,5,3871,0.06401050090789795,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
226355,8,23603,0.06393164396286011,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
135598,5,8878,0.06214696913957596,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
7034,0,7034,0.06096523255109787,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
119954,4,18578,0.06076900660991669,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
101655,4,279,0.06037411838769913,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
133137,5,6417,0.060290224850177765,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
225412,8,22660,0.05957820266485214,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
171215,6,19151,0.05940845608711243,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
282481,11,3697,0.05789628624916077,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
166922,6,14858,0.056728068739175797,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
48921,1,23577,0.05637594684958458,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
184584,7,7176,0.055785637348890305,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
77715,3,1683,0.055095091462135315,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
96412,3,20380,0.053347136825323105,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
246294,9,18198,0.05228887125849724,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
80341,3,4309,0.05192575603723526,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
93278,3,17246,0.051431264728307724,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
198158,7,20750,0.05115142837166786,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
62600,2,11912,0.05067057907581329,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
254844,10,1404,0.050580333918333054,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
87718,3,11686,0.049190718680620193,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
148267,5,21547,0.048808228224515915,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
151776,5,480,0.04857368767261505,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
289917,11,11133,0.04856882244348526,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
50734,2,46,0.048441845923662186,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
41574,1,16230,0.047897931188344955,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
208678,8,5926,0.047106239944696426,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
7292,0,7292,0.04618823900818825,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
166335,6,14271,0.045571599155664444,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
16715,0,16715,0.045451678335666656,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
276646,10,23206,0.04484059661626816,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
256729,10,3289,0.044836923480033875,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
174162,6,22098,0.0445348285138607,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
116773,4,15397,0.044035349041223526,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
118003,4,16627,0.04350215196609497,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
201350,7,23942,0.04340400919318199,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
56598,2,5910,0.04304734617471695,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
141198,5,14478,0.042812809348106384,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
238858,9,10762,0.042713843286037445,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
234109,9,6013,0.042612381279468536,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
182513,7,5105,0.042442187666893005,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
96861,3,20829,0.04178188741207123,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
227808,8,480,0.04168124869465828,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
90410,3,14378,0.04147202521562576,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
247045,9,18949,0.04141681641340256,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
109877,4,8501,0.04069705680012703,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
147266,5,20546,0.04033033922314644,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
106199,4,4823,0.0393083319067955,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
256978,10,3538,0.038294143974781036,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
99032,3,23000,0.037822652608156204,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
166396,6,14332,0.037024129182100296,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
280726,11,1942,0.03690050169825554,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
303340,11,24556,0.03687074035406113,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
207423,8,4671,0.0367487333714962,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
303745,11,385,0.0362151674926281,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
20998,0,20998,0.03577568382024765,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
10337,0,10337,0.03525833785533905,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
70901,2,20213,0.035230666399002075,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
160215,6,8151,0.03496810793876648,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
300853,11,22069,0.03491557762026787,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
230331,9,2235,0.03489498421549797,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
72642,2,21954,0.0346989780664444,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
70887,2,20199,0.033245742321014404,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
199916,7,22508,0.03273274004459381,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
276592,10,23152,0.03261618688702583,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
107515,4,6139,0.0325634703040123,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
74576,2,23888,0.03238695487380028,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
116390,4,15014,0.03237471729516983,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
137937,5,11217,0.032031696289777756,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
226495,8,23743,0.03202393651008606,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
260424,10,6984,0.03196451812982559,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
228849,9,753,0.03179851546883583,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
260793,10,7353,0.031555552035570145,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
182140,7,4732,0.03107481822371483,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
294702,11,15918,0.030263327062129974,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
232998,9,4902,0.030179737135767937,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
120029,4,18653,0.030068695545196533,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
258249,10,4809,0.030060751363635063,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
190236,7,12828,0.030053352937102318,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
133507,5,6787,0.02975262701511383,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
182270,7,4862,0.029519809409976006,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
189344,7,11936,0.02902934141457081,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
151562,5,266,0.0288570374250412,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
164192,6,12128,0.02878282405436039,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
135089,5,8369,0.02876930870115757,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
14924,0,14924,0.028613848611712456,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
254980,10,1540,0.028461841866374016,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
38753,1,13409,0.02844325080513954,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
162301,6,10237,0.028334375470876694,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278401,10,385,0.027855828404426575,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
132874,5,6154,0.027825240045785904,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
49493,1,24149,0.027330657467246056,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278586,10,570,0.027243079617619514,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
224942,8,22190,0.026785019785165787,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
248189,9,20093,0.026653952896595,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
46718,1,21374,0.026534883305430412,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
191863,7,14455,0.026504965499043465,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
244397,9,16301,0.026415741071105003,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
76159,3,127,0.026403306052088737,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
115648,4,14272,0.02580779232084751,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
174528,6,22464,0.025763945654034615,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
304076,11,716,0.02564890682697296,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
125648,4,24272,0.025644902139902115,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278077,10,61,0.0256179329007864,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
273086,10,19646,0.02557632327079773,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
280463,11,1679,0.02551127038896084,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
134551,5,7831,0.024745751172304153,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
303459,11,99,0.02460150234401226,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
76376,3,344,0.024494605138897896,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
183686,7,6278,0.02374190464615822,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
232482,9,4386,0.023704245686531067,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
105874,4,4498,0.023680463433265686,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
43655,1,18311,0.023485401645302773,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
231018,9,2922,0.023291490972042084,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
92310,3,16278,0.023140348494052887,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
74110,2,23422,0.02303604781627655,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
230700,9,2604,0.02277190424501896,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
81171,3,5139,0.022708559408783913,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
94816,3,18784,0.022603096440434456,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
77931,3,1899,0.022602073848247528,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278773,10,757,0.022550180554389954,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
277952,10,24512,0.022320201620459557,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
184997,7,7589,0.022274168208241463,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
156163,6,4099,0.022254200652241707,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
303986,11,626,0.02222505956888199,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
101395,4,19,0.02197914756834507,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
141391,5,14671,0.02196669951081276,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
43086,1,17742,0.021964186802506447,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
115190,4,13814,0.02195383608341217,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
210672,8,7920,0.021905571222305298,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
158925,6,6861,0.021856514737010002,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
270940,10,17500,0.021794376894831657,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
109443,4,8067,0.021754959598183632,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
202464,7,480,0.021656157448887825,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
198448,7,21040,0.021607566624879837,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
164334,6,12270,0.021142929792404175,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
121550,4,20174,0.021086130291223526,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
202250,7,266,0.020999159663915634,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
278481,10,465,0.02084129862487316,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
303696,11,336,0.020722905173897743,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
248415,9,20319,0.020611265674233437,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
285575,11,6791,0.020598430186510086,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
84306,3,8274,0.0205124132335186,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
271542,10,18102,0.020495373755693436,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
208277,8,5525,0.020417470484972,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
266439,10,12999,0.020298337563872337,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
276487,10,23047,0.020139291882514954,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
185109,7,7701,0.02009175345301628,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
264599,10,11159,0.020053880289196968,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
174075,6,22011,0.020042700693011284,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
96005,3,19973,0.020009275525808334,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
304117,11,757,0.01992327719926834,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
177662,7,254,0.019908282905817032,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
91645,3,15613,0.01973539963364601,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
202164,7,180,0.01962623931467533,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
271260,10,17820,0.019619762897491455,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
304124,11,764,0.019559213891625404,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
198556,7,21148,0.01946396753191948,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
121836,4,20460,0.019291620701551437,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
154328,6,2264,0.019159626215696335,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
252966,9,294,0.01915917545557022,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
304080,11,720,0.019149085506796837,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
95900,3,19868,0.01913538947701454,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
228002,8,674,0.01899540424346924,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
304104,11,744,0.018992455676198006,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
227713,8,385,0.01882855035364628,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
303951,11,591,0.01880934089422226,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
254349,10,909,0.018784578889608383,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
253269,9,597,0.01876717247068882,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
153686,6,1622,0.018740059807896614,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
84635,3,8603,0.018637023866176605,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278063,10,47,0.018614018335938454,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
278053,10,37,0.018592581152915955,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
278760,10,744,0.018582209944725037,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
196606,7,19198,0.018523158505558968,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
153518,6,1454,0.018442533910274506,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
242770,9,14674,0.018334098160266876,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
191968,7,14560,0.018203312531113625,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
198358,7,20950,0.018109159544110298,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278030,10,14,0.018030313774943352,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
278432,10,416,0.018007416278123856,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
168822,6,16758,0.01797228865325451,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
208842,8,6090,0.017659133300185204,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
114760,4,13384,0.01764512248337269,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
277831,10,24391,0.01753363013267517,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
139903,5,13183,0.017497874796390533,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
226440,8,23688,0.017457546666264534,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
303521,11,161,0.017451461404561996,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
278201,10,185,0.01742894947528839,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
276969,10,23529,0.017402954399585724,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
223408,8,20656,0.017388179898262024,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278518,10,502,0.01738363690674305,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
137571,5,10851,0.017318200320005417,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
278347,10,331,0.017261452972888947,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
42159,1,16815,0.017243431881070137,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
89387,3,13355,0.017221124842762947,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
195033,7,17625,0.01718905009329319,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
96239,3,20207,0.017177479341626167,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
202462,7,478,0.017168276011943817,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
105077,4,3701,0.01716315932571888,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
254908,10,1468,0.017116745933890343,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
141444,5,14724,0.017105264589190483,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
253393,9,721,0.01710234396159649,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,error
4319,0,4319,0.017083801329135895,"<|endoftext|>When John and Mary went to the shops, John gave the bag to", Mary,feature
